Company,Lat,Long
Coles Group,-33.86544712,151.2061689
Coles Group,-33.8698754,151.2065611
Coles Group,-33.87662121,151.2070982
Subway,-33.8604755,151.210905
Subway,-33.8654645,151.2052402
Subway,-33.86703241,151.2019786
Subway,-33.87002562,151.2049827
Subway,-33.87223482,151.205326
Subway,-33.87415892,151.2084159
Subway,-33.87943216,151.2068709
Subway,-33.88541759,151.2065276
Subway,-33.88584511,151.2079009
McDonald's,-33.86168371,151.21039
McDonald's,-33.865176,151.2060984
McDonald's,-33.86881067,151.2064418
McDonald's,-33.87016472,151.2073859
McDonald's,-33.87173255,151.2066134
McDonald's,-33.8745118,151.2018069
McDonald's,-33.87536694,151.2066993
McDonald's,-33.87778978,151.2031802
McDonald's,-33.88363283,151.2024936
Dominos Pizza,-33.86402882,151.2059267
Dominos Pizza,-33.8852648,151.2072142
KFC,-33.8704395,151.2076433
KFC,-33.874359,151.2066134
KFC,-33.8804873,151.2053259
KFC,-33.87977473,151.2150248
KFC,-33.88383631,151.202751
Hungry Jacks,-33.86145275,151.2110765
Hungry Jacks,-33.87278436,151.2079008
Hungry Jacks,-33.87520728,151.2063559
Hungry Jacks,-33.87827146,151.2134798
Pizza Hut,-33.88721743,151.2083631
Zambrero,-33.87897753,151.2147714
Oporto,-33.86186752,151.2099202
Oporto,-33.86577049,151.2113975
Oporto,-33.87223786,151.2074358
Oporto,-33.87809153,151.2134119
